GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0018193	peptidyl-amino acid modification	4	124	3.23%	244	6436	3.79%	YBR009C, YBR160W, YJR070C, YNL030W
GO:0007010	cytoskeleton organization	4	124	3.23%	272	6436	4.23%	YBR160W, YHR107C, YJR070C, YML085C
GO:0006414	translational elongation	4	124	3.23%	336	6436	5.22%	YDR382W, YHR064C, YKL081W, YOR187W
GO:0031399	regulation of protein modification process	4	124	3.23%	208	6436	3.23%	YDR382W, YGR086C, YHR107C, YIL033C
GO:0006605	protein targeting	4	124	3.23%	211	6436	3.28%	YBR106W, YFL045C, YHR193C, YPR191W
GO:0006457	protein folding	3	124	2.42%	114	6436	1.77%	YHR064C, YJL014W, YJR064W
GO:0070925	organelle assembly	3	124	2.42%	114	6436	1.77%	YBR160W, YHR107C, YIL033C
GO:0006486	protein glycosylation	3	124	2.42%	76	6436	1.18%	YDL055C, YER003C, YFL045C
GO:0006413	translational initiation	3	124	2.42%	69	6436	1.07%	YDR429C, YER165W, YPL237W
GO:0051726	regulation of cell cycle	3	124	2.42%	285	6436	4.43%	YBR160W, YGR155W, YOR198C
GO:0006979	response to oxidative stress	3	124	2.42%	123	6436	1.91%	YBL064C, YDR353W, YNL241C
GO:0006970	response to osmotic stress	3	124	2.42%	85	6436	1.32%	YIL053W, YOL064C, YPL061W
GO:0043934	sporulation	3	124	2.42%	171	6436	2.66%	YBR009C, YNL030W, YNL031C
GO:0070647	protein modification by small protein conjugation or removal	3	124	2.42%	219	6436	3.40%	YFR004W, YFR010W, YLR167W
GO:0042274	ribosomal small subunit biogenesis	3	124	2.42%	149	6436	2.32%	YLR167W, YML063W, YOR310C
GO:0006766	vitamin metabolic process	3	124	2.42%	60	6436	0.93%	YBR035C, YHR063C, YJR025C
GO:0051604	protein maturation	3	124	2.42%	93	6436	1.44%	YBR106W, YJR070C, YPR191W
GO:0009311	oligosaccharide metabolic process	2	124	1.61%	35	6436	0.54%	YBR160W, YKL035W
GO:0006873	cellular ion homeostasis	2	124	1.61%	157	6436	2.44%	YBR127C, YDL198C
GO:0008213	protein alkylation	2	124	1.61%	57	6436	0.89%	YBR009C, YNL030W
GO:0071554	cell wall organization or biogenesis	2	124	1.61%	302	6436	4.69%	YDL055C, YER003C
GO:0016570	histone modification	2	124	1.61%	138	6436	2.14%	YBR009C, YNL030W
GO:0042255	ribosome assembly	2	124	1.61%	80	6436	1.24%	YLR167W, YPL131W
GO:0051052	regulation of DNA metabolic process	2	124	1.61%	95	6436	1.48%	YBR160W, YNL178W
GO:0007059	chromosome segregation	2	124	1.61%	210	6436	3.26%	YBR160W, YML085C
GO:0000910	cytokinesis	2	124	1.61%	105	6436	1.63%	YBR160W, YHR107C
GO:0006397	mRNA processing	2	124	1.61%	219	6436	3.40%	YBR160W, YER165W
GO:0000054	ribosomal subunit export from nucleus	2	124	1.61%	50	6436	0.78%	YER036C, YNL178W
GO:0048193	Golgi vesicle transport	2	124	1.61%	207	6436	3.22%	YBR160W, YKL196C
GO:0009408	response to heat	2	124	1.61%	89	6436	1.38%	YGR086C, YHR064C
GO:0006260	DNA replication	2	124	1.61%	149	6436	2.32%	YBR160W, YGR180C
GO:0007114	cell budding	1	124	0.81%	56	6436	0.87%	YBR160W
GO:0006418	tRNA aminoacylation for protein translation	1	124	0.81%	37	6436	0.57%	YDR023W
GO:0016050	vesicle organization	1	124	0.81%	99	6436	1.54%	YKL196C
GO:0006869	lipid transport	1	124	0.81%	81	6436	1.26%	YOR317W
GO:0009451	RNA modification	1	124	0.81%	177	6436	2.75%	YHR089C
GO:0032200	telomere organization	1	124	0.81%	83	6436	1.29%	YBR160W
GO:0042594	response to starvation	1	124	0.81%	82	6436	1.27%	YIL033C
GO:0007033	vacuole organization	1	124	0.81%	106	6436	1.65%	YKL196C
GO:0006401	RNA catabolic process	1	124	0.81%	152	6436	2.36%	YER165W
GO:0006310	DNA recombination	1	124	0.81%	253	6436	3.93%	YBR160W
GO:0048284	organelle fusion	1	124	0.81%	104	6436	1.62%	YKL196C
GO:0032543	mitochondrial translation	1	124	0.81%	176	6436	2.73%	YOR187W
GO:0006974	cellular response to DNA damage stimulus	1	124	0.81%	233	6436	3.62%	YEL037C
GO:0061025	membrane fusion	1	124	0.81%	55	6436	0.85%	YKL196C
GO:0042273	ribosomal large subunit biogenesis	1	124	0.81%	122	6436	1.90%	YPL131W
GO:0007031	peroxisome organization	1	124	0.81%	51	6436	0.79%	YFR004W
GO:0006897	endocytosis	1	124	0.81%	126	6436	1.96%	YGR086C
GO:0008643	carbohydrate transport	1	124	0.81%	45	6436	0.70%	YFR053C
